Audit Entity ID,Audit Entity Name,Wave,Audit Entity Type,Audit Entity Status,Audit Entity Overview,Business Unit,Line of Defense,Subsidiary Bank,Core Audit Team,Integrated Team,Audit Leader,PGA/ASL,Minimum Audit Frequency,Do you want to override the Minimum Audit Frequency?,Override Minimum Audit Frequency,Last Risk Assessment Date,Last AXP (Most Recent) Audit Report Issued Date,Hand-offs from Other Audit Entities,Hand-offs to Other Audit Entities,Hand-off Description,PRIMARY IT APPLICATIONS (MAPPED),SECONDARY IT APPLICATIONS (RELATED OR RELIED ON),PRIMARY TLM THIRD PARTY ENGAGEMENT,SECONDARY TLM THIRD PARTY ENGAGEMENTS (RELATED),Models,PRSA,POLICIES/STANDARDS/PROCEDURES,Compliance Inherent Risk,Compliance Residual Risk,Compliance Control Assessment,Country Inherent Risk,Country Residual Risk,Country Control Assessment,Credit Inherent Risk,Credit Residual Risk,Credit Control Assessment,External Fraud Inherent Risk,External Fraud Residual Risk,External Fraud Control Assessment,Financial Reporting Inherent Risk,Financial Reporting Residual Risk,Financial Reporting Control Assessment,Funding & Liquidity Inherent Risk,Funding & Liquidity Residual Risk,Funding & Liquidity Control Assessment,Information Technology Inherent Risk,Information Technology Residual Risk,Information Technology Control Assessment,Information Security Inherent Risk,Information Security Residual Risk,Information Security Control Assessment,Model Inherent Risk,Model Residual Risk,Model Control Assessment,Market Inherent Risk,Market Residual Risk,Market Control Assessment,Operational Inherent Risk,Operational Residual Risk,Operational Control Assessment,Reputational Inherent Risk,Reputational Residual Risk,Reputational Control Assessment,Strategic & Business Inherent Risk,Strategic & Business Residual Risk,Strategic & Business Control Assessment,Third Party Inherent Risk,Third Party Residual Risk,Third Party Control Assessment
AE-25,Dispute Resolution,Wave 2,Audit,Active,This entity covers the dispute resolution function.,Technology,2nd Line of Defense,AEBC (American Express Banking Corp.),ITGC,Cyber and IT Process,"Garcia, Maria","Challita, Sylvia",3 Years,No,,11/21/2025,11/1/2021,AE-31,AE-40;AE-24;AE-28;AE-37;AE-32,Processes are handed off related to dispute resolution operations.,SAS Risk Engine;ARA-1426;Power BI;ARA-988;Confluence,,Black Knight;Thomson Reuters;Amazon Web Services,,,PR-00334,POL-007;PROC-004;PROC-003;POL-005;POL-006,High,Low,Well Controlled,Low,High,Partially Controlled,Critical,Medium,Well Controlled,Low,Medium,Partially Controlled,High,High,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,High,High,Insufficiently Controlled,Critical,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,Medium,Well Controlled,Medium,Medium,Well Controlled,Critical,High,Partially Controlled,Low,High,Partially Controlled,Low,High,Insufficiently Controlled
AE-26,Payroll Processing,Wave 3,Audit,Active,This entity covers the payroll processing function.,Technology,2nd Line of Defense,AEBM (American Express Bank Mexico),Treasury and Market Risk,,"Johnson, Sarah","Quintana Franco, Daniel",1.5 Years,Yes,1 Year,11/21/2025,12/1/2022,AE-8,,Processes are handed off related to payroll processing operations.,Archer GRC;Power BI;ARA-1516,ARA-1426,,,,PR-00555;PR-00262,POL-002;STD-003,Critical,Low,Well Controlled,Critical,Medium,Well Controlled,Critical,Medium,Well Controlled,Low,Critical,Insufficiently Controlled,High,High,Insufficiently Controlled,Low,High,Insufficiently Controlled,Low,High,Partially Controlled,Low,Medium,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,Critical,Insufficiently Controlled,Critical,High,Partially Controlled,Medium,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,High,Insufficiently Controlled
AE-27,Accounts Payable,Wave 2,Audit,Active,This entity covers the accounts payable function.,Operations,1st Line of Defense,AEBM (American Express Bank Mexico),Treasury and Market Risk,ITGC,"Smith, John","Challita, Sylvia",3 Years,Yes,1 Year,11/21/2025,6/30/2023,AE-16;AE-40;AE-14,AE-16;AE-37;AE-21,Processes are handed off related to accounts payable operations.,FIS Payment Hub;Splunk SIEM;JIRA,SAP ERP;ARA-995,Black Knight;Fiserv,KPMG,Fraud Neural Net v2;Interest Rate Risk Model;216,PR-00189,STD-004;POL-002;POL-008,Medium,Low,Well Controlled,High,Medium,Well Controlled,High,Medium,Well Controlled,Medium,High,Partially Controlled,Medium,Critical,Insufficiently Controlled,Low,High,Partially Controlled,High,Critical,Insufficiently Controlled,High,Medium,Partially Controlled,Critical,Low,Well Controlled,Medium,Medium,Partially Controlled,Critical,High,Insufficiently Controlled,High,Medium,Well Controlled,Critical,Medium,Partially Controlled,Medium,Medium,Well Controlled
AE-28,General Ledger,Wave 2,Audit,Active,This entity covers the general ledger function.,Global Consumer,1st Line of Defense,AENB (American Express National Bank),Treasury and Market Risk,,"Patel, Raj","Mukhopadhyay, Jaydip",1 Year,No,,3/15/2027,,AE-26;AE-6,AE-26;AE-31,Processes are handed off related to general ledger operations.,ARA-988;SAP ERP;Confluence;SAS Risk Engine;Murex Trading,,,,TLM311660103;Liquidity Stress Model;Credit Scorecard v3,PR-00262;PR-00555,POL-003;PROC-001,Low,High,Partially Controlled,Medium,Medium,Partially Controlled,Medium,High,Partially Controlled,Critical,Critical,Insufficiently Controlled,High,Low,Well Controlled,Critical,Low,Well Controlled,Low,High,Insufficiently Controlled,Critical,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,Critical,Insufficiently Controlled,Critical,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Low,Well Controlled,High,Critical,Insufficiently Controlled
AE-29,Financial Reporting,Wave 1,Audit,Active,This entity covers the financial reporting function.,Operations,2nd Line of Defense,AENB (American Express National Bank),APAC,,"Chen, Wei","Challita, Sylvia",4 Years,No,,9/25/2029,3/1/2024,AE-21;AE-24;AE-7,,,FIS Payment Hub;ServiceNow,ARA-3836;ARA-655,,,TLM311720686;Credit Scorecard v3;Interest Rate Risk Model,PR-001939;PR-00262,STD-002,High,High,Insufficiently Controlled,Low,Low,Well Controlled,Critical,Medium,Partially Controlled,High,High,Insufficiently Controlled,High,Low,Well Controlled,Critical,Medium,Well Controlled,Medium,Critical,Insufficiently Controlled,High,Medium,Partially Controlled,Low,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Low,High,Partially Controlled,High,Medium,Well Controlled,Critical,Medium,Partially Controlled,Critical,Medium,Partially Controlled
AE-30,Regulatory Reporting,Wave 3,Audit,Active,This entity covers the regulatory reporting function.,Technology,2nd Line of Defense,AEBM (American Express Bank Mexico),ITGC,,"Patel, Raj","Challita, Sylvia",3 Years,No,,7/13/2018,3/1/2024,AE-2;AE-31;AE-14;AE-29,AE-5;AE-27,Processes are handed off related to regulatory reporting operations.,JIRA,ARA-988;ARA-995,Thomson Reuters,Google Cloud,,PR-00555;PR-00721,STD-003;PROC-003;PROC-002;STD-004;POL-002,High,Medium,Partially Controlled,Critical,Low,Well Controlled,Medium,Critical,Insufficiently Controlled,High,High,Partially Controlled,Low,Medium,Well Controlled,High,Medium,Partially Controlled,Medium,Critical,Insufficiently Controlled,Medium,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Critical,High,Partially Controlled,Medium,High,Partially Controlled,Medium,High,Partially Controlled,Critical,High,Partially Controlled
AE-31,IT Infrastructure,Wave 1,Audit,Active,This entity covers the it infrastructure function.,Wealth & Investment,1st Line of Defense,AENB (American Express National Bank),Cyber and IT Process,,"Patel, Raj","Challita, Sylvia",1 Year,No,,3/15/2027,5/20/2025,AE-15;AE-26;AE-42,AE-12,Processes are handed off related to it infrastructure operations.,Salesforce CRM;ARA-1516;SharePoint,FIS Payment Hub,Google Cloud;Accenture;Thomson Reuters,,IN-45,PR-00555,PROC-003,High,High,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,High,Low,Well Controlled,Critical,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Medium,High,Partially Controlled,Medium,Medium,Partially Controlled,High,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,High,Partially Controlled,Medium,Critical,Insufficiently Controlled,Low,High,Partially Controlled,High,Low,Well Controlled
AE-32,Cybersecurity,Wave 4,Audit,Active,This entity covers the cybersecurity function.,Wealth & Investment,2nd Line of Defense,AEBM (American Express Bank Mexico),Treasury and Market Risk,,"Patel, Raj","Gupta, Amit",3 Years,No,,11/21/2025,12/1/2022,,AE-15;AE-36,Processes are handed off related to cybersecurity operations.,CyberArk PAM;SharePoint;Power BI,Splunk SIEM;Tableau;ARA-3836,,Moody's,Credit Scorecard v3;Interest Rate Risk Model,PR-00721,POL-007;STD-004;POL-004;POL-008;POL-010,High,Medium,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Critical,Insufficiently Controlled,Critical,High,Insufficiently Controlled,Critical,High,Insufficiently Controlled,High,High,Insufficiently Controlled,High,Low,Well Controlled,Medium,Medium,Partially Controlled,Critical,High,Insufficiently Controlled,Critical,Medium,Well Controlled,Medium,High,Insufficiently Controlled,Medium,Medium,Well Controlled,Low,Medium,Partially Controlled,Medium,High,Partially Controlled
AE-33,Data Governance,Wave 3,Audit,Active,This entity covers the data governance function.,Corporate Functions,1st Line of Defense,AEBC (American Express Banking Corp.),TIPS,ITGC;APAC,"Brown, Lisa","Mukhopadhyay, Jaydip",3 Years,No,,9/25/2029,9/15/2024,AE-14;AE-32;AE-18,AE-19;AE-22,Processes are handed off related to data governance operations.,CyberArk PAM,Python Analytics Platform;Workday HCM;Confluence,,,,PR-00262;PR-001939,STD-005;PROC-005,Low,High,Partially Controlled,Low,Medium,Partially Controlled,Medium,Medium,Well Controlled,Critical,Low,Well Controlled,Medium,Medium,Well Controlled,Medium,High,Partially Controlled,High,High,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Medium,Well Controlled,Medium,High,Insufficiently Controlled,High,Medium,Well Controlled,High,Critical,Insufficiently Controlled,Low,High,Insufficiently Controlled,High,Critical,Insufficiently Controlled
AE-34,Cloud Services,Wave 1,Audit,Active,This entity covers the cloud services function.,Corporate Functions,1st Line of Defense,AENB (American Express National Bank),TIPS,Treasury and Market Risk,"Williams, David",,1.5 Years,No,,11/21/2025,5/20/2025,AE-45;AE-29;AE-14;AE-6,,,,ServiceNow;Bloomberg Terminal;Workday HCM,Wipro,LexisNexis,,PR-00334,PROC-005;POL-010;POL-001;PROC-004;POL-007,Not Applicable,Not Applicable,Not Applicable,Medium,High,Insufficiently Controlled,High,Medium,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Low,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,Medium,Partially Controlled,Low,Medium,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Low,Well Controlled,Low,Medium,Partially Controlled,Medium,Medium,Partially Controlled,Low,Medium,Well Controlled,High,Medium,Well Controlled
AE-35,Application Development,Wave 1,Audit,Active,This entity covers the application development function.,Technology,1st Line of Defense,AEBM (American Express Bank Mexico),Cyber and IT Process,APAC;ITGC,"Williams, David",,1.5 Years,Yes,1.5 Years,11/21/2025,6/30/2023,,AE-9;AE-1;AE-11;AE-32;AE-23,Processes are handed off related to application development operations.,ARA-995;ARA-2057;ServiceNow;ARA-655;SharePoint,SharePoint;ARA-3836,,Salesforce,Credit Scorecard v3;GL-885,PR-00555;PR-001939,STD-005;PROC-002;STD-002;POL-002,Medium,Critical,Insufficiently Controlled,Low,Medium,Well Controlled,Medium,Medium,Partially Controlled,Low,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Medium,Partially Controlled,Low,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Low,High,Partially Controlled,Critical,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,Medium,Partially Controlled,Medium,Medium,Well Controlled,Low,High,Partially Controlled
AE-36,Vendor Management,Wave 4,Audit,Active,This entity covers the vendor management function.,Operations,1st Line of Defense,AENB (American Express National Bank),Treasury and Market Risk,,"Johnson, Sarah","Gupta, Amit",3 Years,No,,11/21/2025,,,AE-1;AE-44,Processes are handed off related to vendor management operations.,SharePoint;SAP ERP;ARA-3836;ARA-1426;Tableau,Bloomberg Terminal,Deloitte;PwC;Thomson Reuters,EY,,PR-00334,STD-002;STD-005;POL-003;POL-004,Medium,Medium,Partially Controlled,Low,High,Insufficiently Controlled,Low,Low,Well Controlled,Critical,High,Partially Controlled,Medium,Medium,Well Controlled,Medium,High,Partially Controlled,Low,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Low,Low,Well Controlled,Low,Medium,Partially Controlled,High,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,High,Medium,Well Controlled,High,High,Insufficiently Controlled
AE-37,Model Validation,Wave 1,Audit,Active,This entity covers the model validation function.,Operations,1st Line of Defense,AEBC (American Express Banking Corp.),APAC,,"Brown, Lisa",,1 Year,No,,11/21/2025,3/1/2024,AE-26,AE-45;AE-42,Processes are handed off related to model validation operations.,,SAS Risk Engine;ARA-3335,,,Liquidity Stress Model,PR-001263;PR-001939,POL-004;POL-002;STD-005,Critical,Low,Well Controlled,Medium,Medium,Well Controlled,High,High,Partially Controlled,High,Low,Well Controlled,Medium,High,Insufficiently Controlled,Medium,High,Partially Controlled,Low,Critical,Insufficiently Controlled,Medium,High,Partially Controlled,Low,Low,Well Controlled,High,High,Insufficiently Controlled,High,Low,Well Controlled,High,Medium,Partially Controlled,High,Low,Well Controlled,Critical,High,Insufficiently Controlled
AE-38,Credit Risk Management,Wave 2,Audit,Active,This entity covers the credit risk management function.,Global Commercial,1st Line of Defense,AENB (American Express National Bank),Treasury and Market Risk,Cyber and IT Process,"Brown, Lisa",,4 Years,No,,6/11/2018,9/15/2024,AE-25;AE-23;AE-12;AE-16,AE-21;AE-23;AE-39;AE-2,Processes are handed off related to credit risk management operations.,CyberArk PAM;ARA-655,SAS Risk Engine,Moody's;IBM;Infosys,Deloitte,,PR-001747,POL-008;POL-001;PROC-002;PROC-001;PROC-004,Not Applicable,Not Applicable,Not Applicable,Critical,Critical,Insufficiently Controlled,Critical,Critical,Insufficiently Controlled,Medium,Medium,Well Controlled,Medium,Low,Well Controlled,Critical,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,Medium,Partially Controlled,Medium,High,Insufficiently Controlled,High,High,Partially Controlled,High,High,Partially Controlled,High,High,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,High,Medium,Well Controlled
AE-39,Market Risk Management,Wave 3,Audit,Active,This entity covers the market risk management function.,Risk & Compliance,1st Line of Defense,AEBC (American Express Banking Corp.),ITGC,APAC,"Chen, Wei","Challita, Sylvia",2 Years,Yes,1.5 Years,11/21/2025,6/30/2023,AE-17;AE-7,AE-1;AE-4;AE-25;AE-29;AE-27,Processes are handed off related to market risk management operations.,Oracle Financials;Salesforce CRM;ServiceNow,ARA-3836;SAS Risk Engine;Oracle Financials,Infosys,EY,,PR-00262;PR-00189,POL-004;POL-003;STD-001,Medium,Medium,Well Controlled,High,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,Medium,Well Controlled,High,Critical,Insufficiently Controlled,High,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Critical,Insufficiently Controlled,Medium,Critical,Insufficiently Controlled,Medium,High,Partially Controlled,High,Low,Well Controlled,Critical,High,Insufficiently Controlled,High,High,Insufficiently Controlled,Low,Medium,Partially Controlled
AE-40,Operational Risk,Wave 1,Audit,Active,This entity covers the operational risk function.,Wealth & Investment,2nd Line of Defense,AENB (American Express National Bank),ITGC,ITGC,"Garcia, Maria","Bell, Adina",3 Years,No,,6/11/2018,12/1/2022,AE-30;AE-17;AE-15,AE-37;AE-4,Processes are handed off related to operational risk operations.,Confluence;ARA-3836;ARA-3335;ServiceNow;Python Analytics Platform,Power BI;CyberArk PAM;ARA-988,,Black Knight,Credit Scorecard v3;CECL Model;TLM311720686,PR-00721,POL-003;STD-003;POL-002,Critical,Low,Well Controlled,Low,High,Partially Controlled,Critical,High,Insufficiently Controlled,Critical,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,High,Partially Controlled,High,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Low,Well Controlled,Critical,Medium,Well Controlled,Critical,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,High,Medium,Well Controlled,High,High,Partially Controlled
AE-41,Compliance Advisory,Wave 2,Audit,Active,This entity covers the compliance advisory function.,Corporate Functions,2nd Line of Defense,AEBC (American Express Banking Corp.),TIPS,Treasury and Market Risk,"Smith, John",,2 Years,No,,9/25/2029,12/1/2022,AE-2;AE-22,AE-20;AE-18,Processes are handed off related to compliance advisory operations.,Confluence;ARA-3836;Murex Trading;ARA-988;ARA-655,SharePoint;FIS Payment Hub,Cognizant;Broadridge,FICO,,PR-00721,STD-004;PROC-001,Medium,Medium,Well Controlled,Medium,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Low,Well Controlled,High,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,High,High,Partially Controlled,Low,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Low,Low,Well Controlled,High,High,Partially Controlled,Critical,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable
AE-42,Internal Controls,Wave 4,Audit,Active,This entity covers the internal controls function.,Global Commercial,1st Line of Defense,AEBC (American Express Banking Corp.),Treasury and Market Risk,Cyber and IT Process,"Brown, Lisa","Quintana Franco, Daniel",4 Years,Yes,1 Year,3/15/2027,5/20/2025,AE-23;AE-30;AE-17,AE-30,Processes are handed off related to internal controls operations.,SAS Risk Engine;Archer GRC;Salesforce CRM;CyberArk PAM,,,Moody's,IN-45;CECL Model,PR-00721,STD-001,High,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Low,Well Controlled,Medium,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Medium,High,Partially Controlled,Critical,High,Insufficiently Controlled,Medium,High,Partially Controlled,Medium,High,Partially Controlled,High,High,Insufficiently Controlled,Critical,Low,Well Controlled,Medium,Low,Well Controlled,High,Critical,Insufficiently Controlled
AE-43,Business Continuity,Wave 2,Audit,Active,This entity covers the business continuity function.,Corporate Functions,1st Line of Defense,AEBM (American Express Bank Mexico),Cyber and IT Process,TIPS,"Smith, John",,1 Year,Yes,Not Applicable,11/21/2025,3/1/2024,AE-22,AE-37;AE-30;AE-10,Processes are handed off related to business continuity operations.,ARA-2057;Power BI;ARA-3335;Oracle Financials;Workday HCM,Workday HCM,,,IN-45;US-856;Fraud Neural Net v2,PR-00555,PROC-001;POL-003,High,High,Partially Controlled,High,Low,Well Controlled,Medium,Medium,Well Controlled,Medium,High,Insufficiently Controlled,High,High,Partially Controlled,Low,High,Insufficiently Controlled,Medium,Critical,Insufficiently Controlled,High,Critical,Insufficiently Controlled,Medium,Medium,Partially Controlled,High,High,Insufficiently Controlled,High,High,Insufficiently Controlled,Medium,Critical,Insufficiently Controlled,High,High,Partially Controlled,Critical,Medium,Well Controlled
AE-44,HR Operations,Wave 1,Audit,Active,This entity covers the hr operations function.,Wealth & Investment,1st Line of Defense,AEBC (American Express Banking Corp.),APAC,TIPS,"Johnson, Sarah","Gupta, Amit",4 Years,Yes,1 Year,7/13/2018,12/1/2022,AE-10;AE-14;AE-45,AE-1;AE-20;AE-27;AE-43;AE-7,Processes are handed off related to hr operations operations.,Archer GRC;MS Teams,Bloomberg Terminal,,,GL-885;Fraud Neural Net v2,PR-00721,PROC-005;POL-007,Not Applicable,Not Applicable,Not Applicable,Critical,High,Partially Controlled,Critical,Low,Well Controlled,High,Medium,Well Controlled,Medium,Low,Well Controlled,Medium,Medium,Well Controlled,Low,High,Partially Controlled,Low,High,Partially Controlled,High,Medium,Partially Controlled,Critical,Medium,Partially Controlled,Critical,Low,Well Controlled,Medium,Low,Well Controlled,Medium,Medium,Well Controlled,Low,High,Partially Controlled
AE-45,Facilities Management,Wave 3,Audit,Active,This entity covers the facilities management function.,Technology,2nd Line of Defense,AEBC (American Express Banking Corp.),ITGC,Treasury and Market Risk,"Smith, John","Bell, Adina",1.5 Years,No,,9/25/2029,11/1/2021,AE-25;AE-31,AE-42;AE-11;AE-8,,ARA-2433;Murex Trading;ARA-2057;ARA-3836;Bloomberg Terminal,Python Analytics Platform;CyberArk PAM;Confluence,Infosys;FICO;Google Cloud,FICO,,PR-00721,POL-004;STD-004;STD-005;POL-002,Medium,High,Partially Controlled,Low,Critical,Insufficiently Controlled,Critical,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Low,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Low,Medium,Partially Controlled,High,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Low,High,Partially Controlled,High,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Low,Low,Well Controlled
AE-46,Insurance Operations,Wave 4,Special Review,Active,This entity covers the insurance operations function.,Global Consumer,1st Line of Defense,AEBC (American Express Banking Corp.),Cyber and IT Process,ITGC;Treasury and Market Risk,"Williams, David",,1 Year,No,,9/25/2029,,AE-4;AE-15,AE-22;AE-36;AE-40,Processes are handed off related to insurance operations operations.,Confluence;ServiceNow;MS Teams;FIS Payment Hub;ARA-3836,,Accenture,Amazon Web Services,Credit Scorecard v3;Liquidity Stress Model,PR-001939;PR-00262,PROC-001;POL-005,Not Applicable,Not Applicable,Not Applicable,Low,High,Insufficiently Controlled,High,High,Insufficiently Controlled,Medium,High,Partially Controlled,Critical,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Medium,Well Controlled,Low,Medium,Partially Controlled
AE-47,Trust Services,Wave 3,Special Review,Active,This entity covers the trust services function.,Wealth & Investment,1st Line of Defense,AENB (American Express National Bank),Treasury and Market Risk,ITGC;Cyber and IT Process,"Williams, David","Challita, Sylvia",4 Years,No,,11/21/2025,,,AE-36;AE-31,Processes are handed off related to trust services operations.,MS Teams;Bloomberg Terminal;Confluence;SharePoint;SAS Risk Engine,Murex Trading;Bloomberg Terminal,,,,PR-001263;PR-00262,POL-007,Critical,Medium,Well Controlled,Medium,Medium,Well Controlled,Medium,Critical,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Low,High,Partially Controlled,Medium,Medium,Partially Controlled,Low,Critical,Insufficiently Controlled,Critical,High,Insufficiently Controlled,Medium,High,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,High,Critical,Insufficiently Controlled,Medium,High,Partially Controlled,High,Medium,Partially Controlled,Not Applicable,Not Applicable,Not Applicable
AE-48,Private Banking,Wave 3,Special Review,Active,This entity covers the private banking function.,Global Consumer,2nd Line of Defense,AEBM (American Express Bank Mexico),Treasury and Market Risk,,"Garcia, Maria","Quintana Franco, Daniel",1.5 Years,No,,7/13/2018,1/15/2023,AE-43;AE-20;AE-32;AE-37,AE-23;AE-5;AE-21;AE-34,Processes are handed off related to private banking operations.,Tableau,,Salesforce,EY,US-856;Liquidity Stress Model,PR-00189;PR-00555,POL-007;PROC-002;PROC-001,Medium,High,Partially Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Medium,High,Insufficiently Controlled,Critical,Low,Well Controlled,Critical,Medium,Well Controlled,Low,High,Partially Controlled,High,High,Insufficiently Controlled,Not Applicable,Not Applicable,Not Applicable,Critical,Medium,Well Controlled,Medium,High,Insufficiently Controlled,Medium,High,Insufficiently Controlled,Medium,High,Insufficiently Controlled,Critical,High,Partially Controlled
AE-49,Corporate Actions,Wave 4,Audit,Inactive,This entity covers the corporate actions function.,Technology,2nd Line of Defense,AEBM (American Express Bank Mexico),ITGC,,"Johnson, Sarah",,2 Years,No,,6/11/2018,1/15/2023,AE-5;AE-38;AE-3;AE-45,,Processes are handed off related to corporate actions operations.,ARA-3836;SAP ERP;Python Analytics Platform;Confluence,Archer GRC;ARA-3335,FIS;Google Cloud,Wolters Kluwer,,PR-001263;PR-00334,POL-005;STD-003,Low,Medium,Well Controlled,Medium,Medium,Well Controlled,Low,High,Partially Controlled,High,Medium,Well Controlled,Critical,Medium,Partially Controlled,Medium,Medium,Partially Controlled,Medium,High,Insufficiently Controlled,Medium,High,Insufficiently Controlled,Critical,Low,Well Controlled,Critical,High,Insufficiently Controlled,Medium,Medium,Well Controlled,Low,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Low,High,Insufficiently Controlled
AE-50,Custody Services,Wave 3,Audit,Inactive,This entity covers the custody services function.,Wealth & Investment,1st Line of Defense,ABC (American Express Bank),ITGC,Treasury and Market Risk,"Smith, John","Quintana Franco, Daniel",3 Years,No,,11/21/2025,9/15/2024,AE-18;AE-24;AE-9,AE-22;AE-31;AE-30;AE-29;AE-23,Processes are handed off related to custody services operations.,Splunk SIEM;ARA-3836;ARA-2057,,PwC;Moody's,,BSA/AML Detection Model;CECL Model,PR-001939,PROC-002,High,High,Insufficiently Controlled,High,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Low,Medium,Partially Controlled,High,Medium,Well Controlled,Medium,Low,Well Controlled,High,Low,Well Controlled,Low,Critical,Insufficiently Controlled,Low,Medium,Partially Controlled,Medium,Critical,Insufficiently Controlled,High,Low,Well Controlled,Not Applicable,Not Applicable,Not Applicable,Medium,High,Partially Controlled
